;Strategy;MA1;MA2;Start;End;Duration;Equity Start [$];Equity Final [$];Equity Peak [$];Commissions [$];Cum Return [%];Return (Ann.) [%];Volatility (Ann.) [%];CAGR [%];Sharpe Ratio;Skew;Kurtosis;Smart Sharpe Ratio;Sortino Ratio;VWR Ratio;Calmar Ratio;Recovery factor [%];Max. Drawdown [%];Avg. Drawdown [%];Max. Drawdown Duration;Avg. Drawdown Duration;Drawdown Peak;# Trades;Win Rate [%];Best Trade [%];Worst Trade [%];Avg. Trade [%];Max. Trade Duration;Avg. Trade Duration;Profit Factor;Expectancy [%];SQN;Kelly Criterion [%]
70;SmaCross;45;50;2010-01-04;2024-12-31;5475 days;1000000.0;5083605.805102017;5813333.682233706;0.0;408.3606;11.4719;18.3632;7.7700000000000005;0.6836;-0.2492;17.1838;0.4355;0.9854;4.0466;0.4378;7.1732;-26.2008;-3.1817;819 days;43 days;2020-03-16;69;65.2174;31.2492;-15.4104;2.6929;280 days;53 days;1.1653;0.0498;2.2703;39.4767
71;SmaCross;45;55;2010-01-04;2024-12-31;5475 days;1000000.0;5337865.129818405;6231697.34738757;0.0;433.7865;11.8359;18.435;8.01;0.6993;-0.1932;16.5802;0.4473;1.0143;4.1597;0.3939;6.424;-30.0454;-3.0065;1180 days;41 days;2023-01-05;40;62.5;55.3237;-15.2314;4.8015;529 days;93 days;1.168;0.0512;2.18;45.3805
72;SmaCross;45;60;2010-01-04;2024-12-31;5475 days;1000000.0;6430981.547954354;7549869.93830813;0.0;543.0982;13.2362;18.8013;8.94;0.7554;-0.0343;15.7999;0.4684;1.1097;4.5944;0.4656;7.4805;-28.4261;-2.9443;1294 days;39 days;2023-01-05;35;65.7143;88.5887;-15.0629;6.1313;670 days;108 days;1.1816;0.0564;2.3884;50.7141
73;SmaCross;45;65;2010-01-04;2024-12-31;5475 days;1000000.0;4294667.248723257;5030484.027586509;0.0;329.4667;10.2233;19.0699;6.94;0.6061;-0.2055;15.1277;0.4532;0.8738;3.6621;0.3179;5.3809;-32.1601;-3.2747;1523 days;46 days;2023-01-05;27;59.2593;91.0138;-14.8498;6.1703;853 days;142 days;1.1421;0.0459;2.0968;43.1882
74;SmaCross;45;70;2010-01-04;2024-12-31;5475 days;1000000.0;4019365.9114598474;4673056.649113743;0.0;301.9366;9.7367;19.0515;6.61;0.5833;-0.2564;15.3232;0.442;0.8366;3.5124;0.2939;5.0229;-33.1248;-3.4473;1580 days;50 days;2012-10-25;24;54.1667;93.2898;-16.9234;6.6896;849 days;159 days;1.1364;0.0441;1.8899;39.6364
75;SmaCross;45;75;2010-01-04;2024-12-31;5475 days;1000000.0;4921650.116414768;5912359.440601724;0.0;392.165;11.2311;18.9883;7.61;0.6559;-0.2452;16.1275;0.4487;0.9457;3.9727;0.3533;5.8653;-31.7901;-3.4155;1079 days;41 days;2016-05-03;21;47.619;92.8117;-16.9854;8.8337;847 days;180 days;1.1561;0.0494;1.8072;35.0764
76;SmaCross;45;80;2010-01-04;2024-12-31;5475 days;1000000.0;6315801.4975836305;6969472.825485259;0.0;531.5801;13.0996;18.9746;8.85;0.744;-0.2281;16.0888;0.4469;1.0783;4.5517;0.4728;7.6281;-27.709;-3.1037;924 days;37 days;2023-01-05;20;60.0;92.2216;-19.3319;10.832;848 days;190 days;1.1779;0.056;2.0311;47.2106
77;SmaCross;45;85;2010-01-04;2024-12-31;5475 days;1000000.0;5775942.910610789;6581699.396545718;0.0;477.5943;12.4266;19.0991;8.41;0.7091;-0.2051;15.7324;0.4582;1.0279;4.3427;0.4634;7.5615;-26.8172;-3.0796;1265 days;40 days;2022-10-11;18;55.5556;95.0609;-19.3066;11.1596;847 days;211 days;1.1682;0.0537;2.0486;45.7586
78;SmaCross;45;90;2010-01-04;2024-12-31;5475 days;1000000.0;6639288.265266711;7476371.513780388;0.0;563.9288;13.4775;19.1596;9.1;0.7561;-0.2074;15.5282;0.4567;1.0979;4.6693;0.509;8.1904;-26.4807;-3.0266;979 days;36 days;2016-05-03;18;55.5556;96.9459;-15.696;12.0736;847 days;214 days;1.179;0.0575;2.19;47.2936
79;SmaCross;45;95;2010-01-04;2024-12-31;5475 days;1000000.0;6366331.4795901105;7209859.896637487;0.0;536.6331;13.1598;19.4236;8.89;0.734;-0.1862;14.9286;0.4713;1.0655;4.5702;0.4075;6.6102;-32.2906;-3.1759;1079 days;39 days;2016-05-03;16;56.25;100.5479;-15.3807;13.3749;847 days;243 days;1.1733;0.0566;2.199;46.9493
